HealthScoreCrop,CropType,Location,PlantedMonth,CurrentMonth,HarvestMonth,PhosphorBudget,PhosphorInput,PhosphorOutput,YieldPerHectare,AverageWeather
82,Wheat,Munich,4,7,7,55,12,83,6300,6
85,Barley,Munich,5,8,8,58,14,88,5900,5
85,Wheat,Munich,3,6,6,50,10,80,6000,6
72,Barley,Munich,4,7,7,55,12,85,5800,5
89,Oats,Munich,3,6,7,48,10,75,6200,6
78,Potato,Munich,4,7,9,40,8,70,7000,6
92,Carrot,Munich,5,8,10,42,9,68,5500,5
70,Corn,Munich,4,7,8,58,14,92,8500,4
83,Wheat,Munich,4,7,7,52,11,82,6200,6
75,Barley,Munich,5,8,8,60,13,87,5600,5
88,Oats,Munich,4,7,8,45,9,72,6400,6
81,Potato,Munich,5,8,10,38,7,68,7200,6
95,Carrot,Munich,6,9,11,40,8,65,5200,5
68,Corn,Munich,5,8,9,56,13,89,8200,4
86,Wheat,Munich,5,8,8,48,10,78,5900,5
73,Barley,Munich,6,9,9,52,11,85,6000,5
90,Oats,Munich,5,8,9,50,10,80,6600,6
79,Potato,Munich,6,9,11,42,8,70,7500,6
93,Carrot,Munich,3,6,8,45,9,70,5400,5
76,Corn,Munich,6,9,10,60,15,95,8800,4
82,Wheat,Munich,4,7,7,55,12,83,6300,6
85,Barley,Munich,5,8,8,58,14,88,5900,5
87,Oats,Munich,3,6,7,48,10,75,6200,6
78,Potato,Munich,4,7,9,40,8,70,7000,6
92,Carrot,Munich,5,8,10,42,9,68,5500,5
70,Corn,Munich,4,7,8,58,14,92,8500,4
83,Wheat,Munich,4,7,7,52,11,82,6200,6
75,Barley,Munich,5,8,8,60,13,87,5600,5
88,Oats,Munich,4,7,8,45,9,72,6400,6
81,Potato,Munich,5,8,10,38,7,68,7200,6
95,Carrot,Munich,6,9,11,40,8,65,5200,5
82,Wheat,Munich,3,6,6,55,12,80,5500,8
68,Barley,Munich,4,7,7,40,8,70,4800,9
75,Oats,Munich,3,6,7,50,10,75,6000,7
60,Potato,Munich,4,7,9,35,7,60,5500,9
70,Carrot,Munich,5,8,10,38,8,68,5000,8
88,Wheat,Munich,4,7,7,52,11,82,6200,6
72,Barley,Munich,5,8,8,60,14,87,5600,5
89,Oats,Munich,4,7,8,48,9,70,5800,6
74,Potato,Munich,5,8,9,38,7,68,6400,7
96,Carrot,Munich,6,9,10,40,8,65,5000,9
68,Wheat,Munich,5,8,8,48,10,78,5400,7
77,Barley,Munich,6,9,9,52,11,85,5200,8
82,Oats,Munich,5,8,9,50,9,72,5800,6
69,Potato,Munich,6,9,11,42,8,70,6200,5
85,Carrot,Munich,3,6,8,45,9,70,4700,8
73,Wheat,Munich,6,9,10,55,13,92,6000,5
80,Barley,Munich,4,7,7,58,12,85,5500,6
87,Oats,Munich,5,8,8,45,9,72,6700,4
78,Potato,Munich,4,7,9,38,7,68,6700,4
82,Wheat,Munich,3,6,6,55,12,80,5500,8
68,Barley,Munich,4,7,7,40,8,70,4800,9
75,Oats,Munich,3,6,7,50,10,75,6000,7
60,Potato,Munich,4,7,9,35,7,60,5500,9
70,Carrot,Munich,5,8,10,38,8,68,5000,8
88,Wheat,Munich,4,7,7,52,11,82,6200,6
72,Barley,Munich,5,8,8,60,14,87,5600,5
89,Oats,Munich,4,7,8,48,9,70,5800,6
74,Potato,Munich,5,8,9,38,7,68,6400,7
96,Carrot,Munich,6,9,10,40,8,65,5000,9
68,Wheat,Munich,5,8,8,48,10,78,5400,7
77,Barley,Munich,6,9,9,52,11,85,5200,8
82,Oats,Munich,5,8,9,50,9,72,5800,6
69,Potato,Munich,6,9,11,42,8,70,6200,5
85,Carrot,Munich,3,6,8,45,9,70,4700,8
73,Wheat,Munich,6,9,10,55,13,92,6000,5
80,Barley,Munich,4,7,7,58,12,85,5500,6
87,Oats,Munich,5,8,8,45,9,72,6700,4
78,Potato,Munich,4,7,9,38,7,68,6700,4
90,Carrot,Munich,3,6,8,40,8,65,5400,7
81,Wheat,Munich,3,6,6,50,11,82,5900,7
76,Barley,Munich,4,7,7,53,13,85,5400,6
84,Oats,Munich,3,6,7,47,10,75,6100,6
75,Potato,Munich,4,7,9,39,7,65,6800,7
93,Carrot,Munich,5,8,10,43,9,70,5300,5
70,Wheat,Munich,5,8,8,47,10,80,5200,4
78,Barley,Munich,6,9,9,55,12,87,5700,5
86,Oats,Munich,4,7,8,50,11,80,6400,6
79,Potato,Munich,5,8,10,42,8,68,7100,7
91,Carrot,Munich,6,9,11,41,8,65,5700,5
72,Wheat,Munich,3,6,6,52,11,82,5400,8
70,Corn,Munich,4,7,8,58,14,92,8500,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,59,14,94,8300,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Corn,Munich,5,8,9,56,13,89,8200,4
76,Corn,Munich,6,9,10,60,15,95,8800,4
72,Corn,Munich,5,8,8,58,14,92,8500,4
65,Corn,Munich,6,9,9,54,13,87,8000,3
78,Corn,Munich,4,7,8,61,16,98,9100,3
74,Corn,Munich,5,8,10,57,14,92,8500,3
80,Corn,Munich,6,9,11,62,17,100,9400,3
77,Corn,Munich,4,7,8,60,15,96,8900,4
82,Corn,Munich,5,8,9,63,17,102,9700,2
69,Corn,Munich,6,9,10,55,13,88,8100,3
75,Corn,Munich,5,8,9,58,14,92,8400,4
81,Corn,Munich,6,9,11,64,18,105,9900,2
70,Corn,Munich,4,7,8,59,14,94,8300,4
68,Barley,Munich,4,7,7,38,8,70,4700,9
75,Oats,Munich,3,6,7,49,10,75,6100,7
60,Potato,Munich,4,7,9,37,7,60,5300,9
71,Carrot,Munich,5,8,10,39,8,68,4800,8
89,Wheat,Munich,4,7,7,54,11,80,6300,6
73,Barley,Munich,5,8,8,61,14,87,5700,5
86,Oats,Munich,4,7,8,49,9,70,6000,6
75,Potato,Munich,5,8,9,37,7,68,6700,7
96,Carrot,Munich,6,9,10,39,8,65,4800,9
69,Wheat,Munich,5,8,8,49,10,78,5200,7
77,Barley,Munich,6,9,9,54,11,85,5100,8
83,Oats,Munich,5,8,9,49,9,72,5700,6
69,Potato,Munich,6,9,11,41,8,70,5900,5
85,Carrot,Munich,3,6,8,43,9,70,4900,8
90,Carrot,Munich,3,6,8,40,8,65,5400,7
